Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Max Consecutive Ones III,44.5,0.6522474623640848,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
HARD,Split Array Largest Sum,35.1,0.5740391597510374,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
EASY,Greatest Common Divisor of Strings,35.1,0.5253074569849174,https://leetcode.com/problems/greatest-common-divisor-of-strings,"Math, String"
MEDIUM,Find the Number of Distinct Colors Among the Balls,35.1,0.5430930089798767,https://leetcode.com/problems/find-the-number-of-distinct-colors-among-the-balls,"Array, Hash Table, Simulation"
MEDIUM,Minimum Swaps to Group All 1's Together II,35.1,0.6555904033240776,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii,"Array, Sliding Window"
EASY,Base 7,35.1,0.5154337083925475,https://leetcode.com/problems/base-7,Math
MEDIUM,Maximum Width Ramp,35.1,0.5563674103588033,https://leetcode.com/problems/maximum-width-ramp,"Array, Two Pointers, Stack, Monotonic Stack"
MEDIUM,Apply Operations to Make All Array Elements Equal to Zero,35.1,0.3295878496214044,https://leetcode.com/problems/apply-operations-to-make-all-array-elements-equal-to-zero,"Array, Prefix Sum"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,35.1,0.604568349390175,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union Find, Sorting"
EASY,Max Consecutive Ones,35.1,0.6177042105813005,https://leetcode.com/problems/max-consecutive-ones,Array
MEDIUM,Spiral Matrix,35.1,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Odd Even Linked List,35.1,0.6183255746243653,https://leetcode.com/problems/odd-even-linked-list,Linked List
MEDIUM,Plates Between Candles,35.1,0.4616728806004995,https://leetcode.com/problems/plates-between-candles,"Array, String, Binary Search, Prefix Sum"
MEDIUM,Sort List,35.1,0.6092481864680674,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
MEDIUM,Product of Array Except Self,35.1,0.6738352589943034,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Random Pick with Weight,35.1,0.4820817185952007,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
EASY,Palindrome Number,35.1,0.5865359786032988,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Sum of Subarray Minimums,35.1,0.3736036936707023,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Contiguous Array,35.1,0.4893136507901704,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum"
MEDIUM,Sort Characters By Frequency,35.1,0.7365394849683571,https://leetcode.com/problems/sort-characters-by-frequency,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,"Pow(x, n)",35.1,0.3647741431378944,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Min Stack,35.1,0.5591515597457177,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Unique Paths II,35.1,0.4275928770126704,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Unique Paths,35.1,0.6540336762085056,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Longest Repeating Character Replacement,35.1,0.5641856537289707,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
HARD,Optimal Account Balancing,100.0,0.4970603718445121,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Count Subarrays With Score Less Than K,90.5,0.5567316324462077,https://leetcode.com/problems/count-subarrays-with-score-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Target Sum,90.5,0.5031044003223292,https://leetcode.com/problems/target-sum,"Array, Dynamic Programming, Backtracking"
MEDIUM,Maximize Distance to Closest Person,100.0,0.4870415197084244,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,Reorganize String,80.2,0.5578367808394188,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Number of Adjacent Elements With the Same Color,80.2,0.5417296548248929,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array
MEDIUM,Remove Duplicate Letters,100.0,0.5084022816499225,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
HARD,Parse Lisp Expression,100.0,0.5234774322099974,https://leetcode.com/problems/parse-lisp-expression,"Hash Table, String, Stack, Recursion"
MEDIUM,Simple Bank System,100.0,0.6338894946748921,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Spiral Matrix,100.0,0.5293293653085535,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Count Operations to Obtain Zero,93.3,0.7469466172636201,https://leetcode.com/problems/count-operations-to-obtain-zero,"Math, Simulation"
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,72.6,0.6233333333333333,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
HARD,Block Placement Queries,64.1,0.1609268707482993,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
EASY,Palindrome Number,64.1,0.5865359814289399,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Walls and Gates,100.0,0.6257005727384676,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
HARD,Longest Increasing Path in a Matrix,86.9,0.549107914113888,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
MEDIUM,Search Suggestions System,83.0,0.6504550374996033,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
HARD,Binary Tree Maximum Path Sum,78.2,0.4090452885213874,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Koko Eating Bananas,78.2,0.4882386058875497,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,72.0,0.8218317639298696,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Minimum Size Subarray Sum,72.0,0.4874478907823787,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,4Sum,72.0,0.3760161539821098,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
EASY,Check if One String Swap Can Make Strings Equal,63.3,0.4946871351172619,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,"Hash Table, String, Counting"
HARD,Word Search II,63.3,0.3701571260624688,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
EASY,Two Sum,100.0,0.5507379508561278,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Create Hello World Function,80.0,0.8182503818859103,https://leetcode.com/problems/create-hello-world-function,
EASY,Merge Strings Alternately,74.7,0.8181647377753473,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Recyclable and Low Fat Products,74.7,0.8937634256619811,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
EASY,Merge Sorted Array,70.2,0.5225683871742244,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Longest Common Prefix,66.1,0.4488789879832974,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Add Two Numbers,64.4,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Remove Duplicates from Sorted Array,64.4,0.5945074620755648,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
HARD,Median of Two Sorted Arrays,62.7,0.429393695737594,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Trapping Rain Water,62.7,0.6428753017089767,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Climbing Stairs,62.7,0.5334305798456781,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Longest Substring Without Repeating Characters,60.8,0.3632668601107121,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Add Two Integers,60.8,0.8811604823847654,https://leetcode.com/problems/add-two-integers,Math
EASY,Pascal's Triangle,60.8,0.7642548455060169,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,3Sum,58.7,0.3642306007559482,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Maximal Square,58.7,0.4822792020688925,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
EASY,Palindrome Number,58.7,0.586536002116664,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Design a Number Container System,58.7,0.5816330728095433,https://leetcode.com/problems/design-a-number-container-system,"Hash Table, Design, Heap (Priority Queue), Ordered Set"
EASY,Single Number,58.7,0.7533125320290354,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Longest Palindromic Substring,56.3,0.3529835172881564,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Roman to Integer,53.6,0.6415380784258702,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Top K Frequent Elements,53.6,0.6408009414896952,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
