Difficulty,Title,Frequency,Link,Topics,Companies
MEDIUM,Combination Sum,49.6,https://leetcode.com/problems/combination-sum,"Array, Backtracking",Amazon
MEDIUM,Pacific Atlantic Water Flow,49.6,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix",Amazon
MEDIUM,Subarray Sum Equals K,49.6,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum","Amazon, Microsoft, Meta"
MEDIUM,Jump Game,49.6,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy",Amazon
MEDIUM,Maximum Product Subarray,49.6,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming","Amazon, Google"
MEDIUM,Next Greater Element II,49.6,https://leetcode.com/problems/next-greater-element-ii,"Array, Stack, Monotonic Stack",Amazon
MEDIUM,Surrounded Regions,49.6,https://leetcode.com/problems/surrounded-regions,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",Amazon
HARD,Sliding Window Maximum,49.6,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue","Amazon, Google"
HARD,Binary Tree Maximum Path Sum,49.6,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree","Amazon, DoorDash"
MEDIUM,Word Break,49.6,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",Amazon
MEDIUM,Meeting Rooms II,49.6,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum","Amazon, Google"
MEDIUM,Koko Eating Bananas,49.6,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search","Amazon, DoorDash, Google"
MEDIUM,3Sum,49.6,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting","Amazon, Google, Microsoft"
HARD,Concatenated Words,49.6,https://leetcode.com/problems/concatenated-words,"Array, String, Dynamic Programming, Depth-First Search, Trie",Amazon
MEDIUM,Binary Tree Zigzag Level Order Traversal,49.6,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree","Amazon, Microsoft"
HARD,Word Search II,49.6,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix",Amazon
HARD,Median of Two Sorted Arrays,49.6,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer","Amazon, Google, Microsoft, Meta"
